x,y
0.770695965,0.095842975
0.759859662,0.066405553
0.778651108,0.111577932
0.757671558,0.06693483
0.774302448,0.107915792
0.698176504,0.042487401
0.772463211,0.102433653
0.764593089,0.069990935
0.74654793,0.086963654
0.759468244,0.059981586
0.739496763,0.081800783
0.758374412,0.057200587
0.76364709,0.079979973
0.760939246,0.163745598
0.709141558,0.155169234
0.66035013,0.124959501
0.741291936,0.124617376
0.766799951,0.087736818
0.675385968,0.034517301
0.752959421,0.092535837
0.713475247,0.009821083
0.750193681,0.075630716
0.788807697,0.198175646
0.71433634,-0.015942435
0.715122989,-0.011475555
0.736259537,0.015317206
0.743236012,0.030026159
0.755828682,0.0705364
0.764264537,0.084006936
0.753012323,0.046324001
0.747679557,0.033060222
0.729060651,0.038474326
0.738540202,0.130851516
0.715196694,0.142216764
0.756798065,0.050915948
0.780626127,0.119042285
0.749357149,0.103931928
0.779031817,0.119963951
0.759390924,0.113714899
0.76030869,0.0658245
0.778219979,0.112811655
0.688470433,0.063803843
0.769415291,0.126575924
0.728821916,0.02300538
0.690672594,-0.002952939
0.757597344,0.06280369
0.746143621,0.079676848
0.770592679,0.095682605
0.747546354,0.084760559
0.771497185,0.083948245
-0.43221565,0.02381982
-0.385356026,-0.157071023
-0.477768447,0.056399789
-0.149625582,-0.461975901
-0.423383269,-0.149309663
-0.306659704,-0.347678349
-0.424905011,-0.107353912
0.184754308,-0.449352949
-0.405883714,-0.138530023
-0.084893839,-0.462311409
0.093042674,-0.46845293
-0.270646412,-0.334367067
-0.169830867,-0.417013729
-0.404729704,-0.215523353
-0.021226045,-0.436853316
-0.371290226,-0.131481783
-0.311247306,-0.324966295
-0.172668591,-0.41719098
-0.370328243,-0.271751756
-0.104584235,-0.462695577
-0.428128516,-0.149060504
-0.215970777,-0.363058074
-0.461858111,-0.137112345
-0.382843293,-0.243016009
-0.325005937,-0.249990395
-0.370478763,-0.165281984
-0.458520752,-0.034770782
-0.508102284,0.053562525
-0.361911287,-0.271253009
0.030574018,-0.453024933
-0.062410344,-0.476625696
-0.016921328,-0.477742719
-0.139370256,-0.428755678
-0.478792987,-0.118145732
-0.283046137,-0.347659986
-0.34984868,-0.202714199
-0.443793554,-0.047617412
-0.339541887,-0.288659272
-0.179229098,-0.402058624
-0.148242438,-0.457163965
-0.245206539,-0.409313245
-0.381365293,-0.230094148
-0.172403979,-0.427001032
0.168438577,-0.456010224
-0.216723339,-0.416540232
-0.208746766,-0.384497377
-0.22521353,-0.388752475
-0.308720004,-0.291627075
0.252297946,-0.417800527
-0.198822029,-0.409952323
-0.520637723,0.37983664
-0.474795138,-0.116109742
-0.541498234,0.458460425
-0.547319561,0.147876277
-0.555332212,0.316047426
-0.441613176,0.662556693
-0.23001807,-0.389225354
-0.500226258,0.5433674
-0.545306571,0.269705941
-0.483408062,0.582215127
-0.521248855,0.096224712
-0.539118495,0.075809581
-0.555983427,0.284115224
-0.4495734,-0.160313764
-0.477921095,-0.028960743
-0.534088029,0.176036134
-0.550652667,0.172352978
-0.38285145,0.695049323
-0.381556247,0.682996691
-0.43908043,-0.185763641
-0.54593021,0.401788711
-0.427826239,-0.184112732
-0.418677604,0.662655323
-0.487018291,-0.083364894
-0.549917904,0.341765477
-0.524597002,0.479053834
-0.465165061,-0.12615912
-0.471019859,-0.102115107
-0.555111555,0.205296743
-0.528321103,0.389746328
-0.5076882,0.521498126
-0.392716104,0.663650248
-0.553726629,0.219158968
-0.494227353,-0.056934079
-0.506622004,0.026223076
-0.470805172,0.610166827
-0.527966168,0.269351864
-0.545341243,0.157154811
-0.445458298,-0.150435985
-0.548134383,0.285049387
-0.548748901,0.336176798
-0.524921538,0.223508414
-0.474795138,-0.116109742
-0.543934003,0.433617543
-0.535965651,0.388086482
-0.537937598,0.198944976
-0.499467205,-0.053540763
-0.537076532,0.108427897
-0.519675226,0.177253778
-0.479945975,-0.086012282
